Video,Model,Aktarim_Modu,Frame_ID,Decode_Zamani_ms,Stabil_FPS
12331098_1080_1920_25fps,V5_Standart,CODEC_ZLIB,48,33.8,29.52
12331098_1080_1920_25fps,V5_Standart,CODEC_ZLIB,49,33.8,29.52
12331098_1080_1920_25fps,V5_Standart,CODEC_ZLIB,50,33.87,29.52
12331098_1080_1920_25fps,V5_Standart,CODEC_ZLIB,51,33.76,29.53
12331098_1080_1920_25fps,V5_Standart,CODEC_ZLIB,52,33.82,29.53
12331098_1080_1920_25fps,V5_Standart,CODEC_ZLIB,53,33.91,29.53
12331098_1080_1920_25fps,V5_Standart,CODEC_ZLIB,54,33.83,29.53
12331098_1080_1920_25fps,V5_Standart,CODEC_ZLIB,55,34.24,29.52
12331098_1080_1920_25fps,V5_Standart,CODEC_ZLIB,56,33.9,29.52
12331098_1080_1920_25fps,V5_Standart,CODEC_ZLIB,57,33.8,29.52
12331098_1080_1920_25fps,V5_Standart,CODEC_ZLIB,58,33.9,29.51
12331098_1080_1920_25fps,V5_Standart,CODEC_ZLIB,59,33.79,29.51
12331098_1080_1920_25fps,V5_Standart,CODEC_ZLIB,60,33.82,29.51
12331098_1080_1920_25fps,V5_Standart,CODEC_ZLIB,61,33.83,29.51
12331098_1080_1920_25fps,V5_Standart,CODEC_ZLIB,62,33.87,29.51
12331098_1080_1920_25fps,V5_Standart,CODEC_ZLIB,63,33.88,29.51
